title,plot_synopsis,plot_synopsis_sum
alien,"Scenes in red appear only in the 2003 Director's Cut. Scenes in blue appear only in the 1979 Theatrical Edition.The opening credits appear in front of a large planet with rings. Cut to the far reaches of deep space: the Nostromo, a commercial towing space vehicle, carrying a refinery with twenty million tons of mineral ore, is en route to Earth with a crew of seven. Inside, the ship appears eerily quiet, but suddenly, the onboard computer is activated. Lights inside the ship are activated, and a room with 7 biobeds is illuminated. The canopies open to wake the crew. Executive Officer Kane (Joh","The opening credits appear in front of a large planet with rings. The Nostromo, a commercial towing space vehicle, carrying a refinery with twenty million tons of mineral ore, is en route to Earth with a crew of seven."
twilight,"Seventeen-year-old Bella Swan (Kristen Stewart) has decided to leave sunny Phoenix, Arizona, to spend some time with her father Charlie Swan (Billy Burke), the chief of police in the perpetually cloudy and rainy city of Forks, Washington, on the west coast of the Olympic Peninsula, so that her mother Renée (Sarah Clarke) and her minor league baseball-playing stepfather Phil Dwyer (Matt Bushell) can go on the road together for spring training and perhaps even move to Jacksonville, Florida.Bella's relationship with her father is cool, even though she hasn't seen him in several years. When she ar","Bella Swan (Kristen Stewart) has decided to leave sunny Phoenix, Arizona, to spend some time with her father. Charlie Swan (Billy Burke) is the chief of police in the perpetually cloudy and rainy city of Forks, Washington."
forrest gump,"In 1982, Forrest Gump recounts his life story to strangers who sit next to him on a bench in Savannah, Georgia.
On his first day of school, in Greenbow, Alabama, Forrest meets a girl named Jenny Curran. Despite his low intelligence quotient, his running ability wins him a football scholarship. After his college graduation, he enlists in the army, where he befriends a fellow soldier named Bubba, who convinces Gump to go into the shrimping business with him when the war is over. They are sent to Vietnam, and during an ambush, Bubba is killed in action. Gump saves many of his platoon, including h","In 1982, Forrest Gump recounts his life story to strangers who sit next to him on a bench in Savannah, Georgia. Despite his low intelligence quotient, his running ability wins him a football scholarship. After his college graduation, he enlists in the army, where he befriends a fellow soldier."
star wars,"Note: Italicized paragraphs describe scenes added for the film's 1997 special edition and updated for its DVD release.An opening title card reads:'A long time ago in a galaxy far, far away...'It is a period of civil war. Rebel spaceships, striking from a hidden base, have won their first victory against the evil Galactic Empire. During the battle, Rebel spies managed to steal secret plans to the Empire's ultimate weapon, the DeathStar, an armored space station with enough power to destroy an entire planet. Pursued by the Empire's sinister agents, Princess Leia (Carrie Fisher) races home aboard","Rebel spaceships have won their first victory against the evil Galactic Empire. During the battle, Rebel spies managed to steal secret plans to the Empire's ultimate weapon, the DeathStar."
pulp fiction,"Late one morning in the Hawthorne Grill, a restaurant on Sunset Boulevard in Los Angeles, a couple of young Brits called Honey Bunny (Amanda Plummer) and Pumpkin (Tim Roth) discuss the pros and cons of robbing banks versus liquor stores. Then they add restaurants to the equation, realizing they can make more by taking customers' wallets than they get out of the till. The two kiss, declare they love each other and stand up in their booth, announcing that they're robbing the diner.Earlier in the day, Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) arrive at a San Fernando Va","Two young Brits decide to rob a diner in Los Angeles. The film stars Amanda Plummer, John Travolta and Samuel L. Jackson."
titanic,"In 1996, treasure hunter Brock Lovett and his team aboard the research vessel Keldysh search the wreck of RMS Titanic for a necklace with a rare diamond, the Heart of the Ocean. They recover a safe containing a drawing of a young woman wearing only the necklace. It is dated April 14, 1912, the day the ship struck the iceberg. Rose Dawson Calvert, claiming to be the person in the drawing, visits Lovett and tells of her experiences aboard the ship.
In 1912 Southampton, 17-year-old first-class passenger Rose DeWitt Bukater, her fiancé Cal Hockley, and her mother Ruth board the Titanic. Ruth empha","In 1996, treasure hunter Brock Lovett and his team aboard the research vessel Keldysh search the wreck of RMS Titanic for a necklace with a rare diamond. They recover a safe containing a drawing of a young woman wearing only the necklace. It is dated April 14, 1912, the day the ship struck the iceberg. Rose Dawson Calvert claims to be the person in the drawing."
the godfather,"In late summer 1945, guests are gathered for the wedding reception of Don Vito Corleone's daughter Connie (Talia Shire) and Carlo Rizzi (Gianni Russo). Vito (Marlon Brando), the head of the Corleone Mafia family, is known to friends and associates as ""Godfather."" He and Tom Hagen (Robert Duvall), the Corleone family lawyer, are hearing requests for favors because, according to Italian tradition, ""no Sicilian can refuse a request on his daughter's wedding day."" One of the men who asks the Don for a favor is Amerigo Bonasera, a successful mortician and acquaintance of the Don, whose daughter was","Marlon Brando stars as the head of the Corleone Mafia family. The film is set in late summer 1945. According to Italian tradition, ""no Sicilian can refuse a request on his daughter\'s wedding day"""
e.t. the extra-terrestrial,"In a forested area overlooking a sprawling suburban neighborhood, an alien spacecraft has landed. The creatures aboard have come to observe and collect specimens. One of them wanders some distance away, when strange lights and sounds cause him to hide. The group of men are led by one who has a jingling set of keys attached to a belt loop. Scared, the creature takes of running, with the men in pursuit. The creature attempts to get back to his spaceship, but it leaves without him. Eventually, it makes its way down an embankment into the suburban housing development below.In one house, a young bo","An alien spacecraft has landed in a suburban neighborhood. The creatures aboard have come to observe and collect specimens. One of them wanders some distance away, when strange lights and sounds cause him to hide."
fight club,"We back out of the webbing of neurons and brain cells as the title credits appear, finding ourselves emerging from the sweat-glistened skin of the protagonist: our narrator (Edward Norton), as he looks down the barrel of a gun that's been stuck in his mouth. The gun is held by a man named Tyler (Brad Pitt) who checks his watch, counting down to 'ground zero' before he asks if the narrator has anything to say. The narrator mumbles through the gun before it's removed and reiterates that he can't think of anything. As Tyler looks out of the high rise window to the dark city below them, the narrat",The film stars Edward Norton and Brad Pitt. The story follows a man who has a gun stuck in his mouth. He can't think of anything to say.
finding nemo,"Two clownfish, Marlin (Albert Brooks) and his wife Coral (Elizabeth Perkins), admire the view from their new home within a sea anemone overlooking the drop off of a coral reef. Below them, their clutch of eggs lies hidden in a small hole. Excited to be first-time parents, they discuss names, Coral expressing her fondness for ""Nemo."" They flirt playfully with each other until Coral's attention is distracted by the appearance of a barracuda. Ignoring Marlin's order to hide, Coral moves to protect her eggs and the barracuda lunges. Marlin rushes in but the barracuda knocks him out with a flick of","Two clownfish, Marlin (Albert Brooks) and his wife Coral (Elizabeth Perkins), admire the view from their new home. They discuss names, Coral expressing her fondness for ""Nemo"" They flirt playfully with each other until Coral\'s attention is distracted by the appearance of a barracuda."
