Data,Autore,Nazionalità,Titolo,Descrizione
2011,Yuval Noah Harari,Israeliana,Sapiens: Da animali a dèi,Esplora l'evoluzione umana dalla preistoria ai giorni nostri.
1962,Barbara W. Tuchman,Americana,The Guns of August,Analizza gli eventi che portarono allo scoppio della Prima Guerra Mondiale.
1532,Niccolò Machiavelli,Italiana,Il Principe,Un classico trattato sulla politica e la leadership.
1959-1974,Indro Montanelli,Italiana,Storia d'Italia,Una serie di volumi che coprono la storia dell'Italia da tempi antichi al XX secolo.
1980,Howard Zinn,Americana,A People's History of the United States,Offre una prospettiva alternativa sulla storia degli Stati Uniti
1776-1788,Edward Gibbon,Britannica,The Decline and Fall of the Roman Empire,Un'analisi dettagliata sulla caduta dell'Impero Romano.
1947,Anne Frank,Olandese,The Diary of a Young Girl,Il diario di Anne Frank
2015,David McCullough,Americana,The Wright Brothers,La storia dei fratelli Wright e dell'invenzione dell'aereo.
1948-1953,Winston S. Churchill,Britannica,The Second World War,Una narrazione epica della Seconda Guerra Mondiale da parte di uno dei principali leader dell'epoca.
2011,Stephen Greenblatt,Americana,The Swerve: How the World Became Modern,Esplora l'influenza del poeta romano Lucrezio sulla filosofia e la cultura rinascimentale.
6th century B.C.,Sun Tzu,Cinese,The Art of War,Un classico trattato sulla strategia militare e la tattica.
2003,Erik Larson,Americana,The Devil in the White City,Intreccia la storia della costruzione dell'Esposizione Universale di Chicago nel 1893 con quella di un serial killer.
1991,Jared Diamond,Americana,The Third Chimpanzee,Esplora l'evoluzione umana e le connessioni tra gli esseri umani e i primati.
1960,William L. Shirer,Americana,The Rise and Fall of the Third Reich,Un'analisi completa del Terzo Reich e della Seconda Guerra Mondiale.
2005,Charles C. Mann,Americana,1491: New Revelations of the Americas Before Columbus,Esamina la storia delle Americhe prima dell'arrivo di Cristoforo Colombo.
1999,Simon Singh,Britannica,The Code Book,Un viaggio attraverso la storia della crittografia e dei codici segreti.
2015,David McCullough,Americana,The Wright Brothers,La storia dei fratelli Wright e dell'invenzione dell'aereo (ripetuto per completezza).
